"title","url","image","type","priority","home","home_image","lat","lon"
"Kehlen","https://web.archive.org/web/20220116215410/https://participation.kehlen.lu/","/uploads/logo_aj_kielen.png","city","50","","","",""
"Kokubunji","https://meta.diycities.jp/assemblies/hereandthere/f/405/proposals/1408","/uploads/logo_aj_kokubunji.png","city","50","","","",""
"Komae","https://komae.beehub.life/","/uploads/logo_aj_komae.png","city","50","","","",""
"La Fabrique de la Region","https://web.archive.org/web/20210507122315/https://www.lafabriquedelaregion.fr/","/uploads/logo_lafabriquedelaregion.png","org","50","","","",""
"La Gaspésie","https://web.archive.org/web/20220129051722/https://stratnumgaspesie.com/","/uploads/gaspesie.png","region","2","","","",""
"Laboratori d'Innovació Democratica","https://lid.decidim.barcelona/","/uploads/logo_lid.png","org","50","","","",""
"Lafede.cat","https://decidim.lafede.cat","/uploads/logo_lafede.jpeg","org","2","","","",""
"L'Ametlla del Vallès","https://participa311-ametlla.diba.cat/","/uploads/logo_aj_ametlladelvalels.jpg","city","50","","","",""
"La Pobla de Claramunt","https://participa311-lapobladeclaramunt.diba.cat/","/uploads/logo_aj_lapobladeclaramunt.webp","city","50","","","",""
"La Torre del Claramunt","https://participa311-latorre.diba.cat/","/uploads/logo_aj_latorre.png","city","50","","","",""
"L'Economat Social","https://participa.leconomat.queviure.cat","/uploads/logo_leconomat.jpg","org","2","","","",""
